Sample	Diagnosis	Tissue	Group	Read_Length
101112BCM266	DM1	Heart	Cooper	36
110409BCM266	Control	Heart	Cooper	36
BCM040	DM1	Skeletal_Muscle	Cooper	36
BCM041	DM1	Heart	Cooper	36
BCM071	DM1	Heart	Cooper	36
BCM073	DM1	Heart	Cooper	36
BCM075	DM1	Heart	Cooper	36
BCM076	DM1	Bicep	Cooper	57
BCM080	DM1	Heart	Cooper	57
BCM098	DM1	Heart	Cooper	36
BCM108	DM1	Rectus_Femoris	Cooper	57
BCM178	DM1	Bicep	Cooper	36
BCM179	DM1	Quad	Cooper	36
BCM181	DM1	Heart	Cooper	36
BCM187	Control	Quad	Cooper	36
BCM199	Control	Heart	Cooper	36
BCM219	DM1	Heart	Cooper	60
BCM234	DM1	Quad	Cooper	36
BCM235	DM1	Digitorum	Cooper	57
BCM248	DM1	Gastroc	Cooper	57
BCM250	DM1	Deltoid	Cooper	57
BCM251	DM1	Vastus	Cooper	36
BCM252	DM1	Tibialis	Cooper	57
BCM253	DM1	Soleus	Cooper	57
BCM254	DM1	Diaphragm	Cooper	57
BCM255	Control	Tricep	Cooper	57
BCM260	Control	Heart	Cooper	36
BCM262	DM1	Bicep	Cooper	57
BCM263	DM1	Quad	Cooper	36
BCM265	DM1	Diaphragm	Cooper	36
BCM267	DM1	Bicep	Cooper	36
BCM270	Duchenne	Quad	Cooper	57
BCM271	Duchenne	Tibialis	Cooper	57
BCM272	Duchenne	Bicep	Cooper	57
BCM273	Duchenne	Gastroc	Cooper	60
DB_DM1	DM1	Quad	Brook	60
DB_DM2	DM1	Quad	Brook	60
DB_DM3	DM1	Quad	Brook	60
DB_DM4	DM1	Quad	Brook	60
DB_DM11	DM1	Quad	Brook	60
DB_DM12	DM1	Quad	Brook	60
DB_DM14	DM1	Quad	Brook	60
DB_DM17	DM1	Quad	Brook	60
DB_DM20	DM1	Quad	Brook	60
DB_DM21	DM1	Quad	Brook	60
DB_DM22	DM1	Quad	Brook	60
DB_DM23	DM1	Quad	Brook	60
DB_C1	Control	Quad	Brook	60
DB_C5	Control	Quad	Brook	60
DB_C6	Control	Quad	Brook	60
DB_C10	Control	Quad	Brook	60
DB_C11	Control	Quad	Brook	60
DB_C12	Control	Quad	Brook	60
DB_C17	Control	Quad	Brook	60
DB_C18	Control	Quad	Brook	60
DB_C19	Control	Quad	Brook	60
DB_C20	Control	Quad	Brook	60
DB_C21	Control	Quad	Brook	60
CA091001_delt	DM1	Deltoid	Day	57
CA091001_vast	DM1	Vastus	Day	57
MN090527_card	DM1	Heart	Day	57
MN090527_delt	DM1	Deltoid	Day	57
MN090527_vast	DM1	Vastus	Day	57
MN090909_card	DM2	Heart	Day	57
MN090909_gastroc	DM2	Gastroc	Day	57
MN090909_pect	DM2	Pectoral	Day	57
MN090909_vast	DM2	Vastus	Day	36
R101	DM1	Vastus	Thornton	57
R102	DM1	Tibialis	Thornton	57
R103	DM1	Tibialis	Thornton	57
R104	DM1	Tibialis	Thornton	60
R105	DM1	Tibialis	Thornton	57
R108	DM1	Tibialis	Thornton	60
R109	DM1	Tibialis	Thornton	57
R110	DM1	Tibialis	Thornton	60
R112	DM1	Tibialis	Thornton	60
R113	DM1	Tibialis	Thornton	60
R114	DM1	Tibialis	Thornton	60
R115	DM1	Tibialis	Thornton	57
R116	DM1	Tibialis	Thornton	57
R117	DM1	Tibialis	Thornton	57
R118	DM1	Tibialis	Thornton	57
R119	DM1	Tibialis	Thornton	60
R120	DM1	Tibialis	Thornton	60
R121	DM1	Tibialis	Thornton	60
R122	DM1	Tibialis	Thornton	57
R123	DM1	Tibialis	Thornton	57
R124	DM1	Tibialis	Thornton	60
R125	DM1	Tibialis	Thornton	60
R126	DM1	Tibialis	Thornton	57
R127	DM1	Tibialis	Thornton	60
R128	DM1	Tibialis	Thornton	57
R130	DM1	Tibialis	Thornton	60
R131	DM1	Tibialis	Thornton	60
R134	DM1	Tibialis	Thornton	57
R135	DM1	Tibialis	Thornton	60
R137	DM1	Tibialis	Thornton	57
R138	DM1	Tibialis	Thornton	57
R139	DM1	Tibialis	Thornton	57
R142	DM1	Tibialis	Thornton	57
R144	Control	Tibialis	Thornton	57
R145	DM1	Tibialis	Thornton	60
R146	Control	Tibialis	Thornton	57
R147	Control	Tibialis	Thornton	57
R148	DM1	Tibialis	Thornton	57
R149	DM1	Tibialis	Thornton	57
R150	Control	Tibialis	Thornton	57
R151	DM1	Tibialis	Thornton	60
R152	Control	Tibialis	Thornton	57
R153	DM1	Tibialis	Thornton	57
R154	DM1	Tibialis	Thornton	57
R156	DM1	Tibialis	Thornton	60
R157	DM1	Tibialis	Thornton	57
R158	DM1	Tibialis	Thornton	57
R159	DM1	Tibialis	Thornton	57
R160	DM1	Tibialis	Thornton	60
R161	DM1	Tibialis	Thornton	60
R162	DM1	Tibialis	Thornton	60
R170	Control	Tibialis	Thornton	60
R171	Control	Tibialis	Thornton	60
R172	Control	Tibialis	Thornton	60
R174	Control	Tibialis	Thornton	60
R175	Control	Tibialis	Thornton	60
R178	Control	Tibialis	Thornton	60
